"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","1","0","0","0","0"
"epic Challenges","feature Challenges by date","story Combination sum","25","0","3","0","0"
"epic Challenges","feature Challenges by date","story Running water","6","0","4","0","0"
"epic Training","feature Core","story Largest number","0","0","20","0","0"
"epic Challenges","feature Challenges by date","story Spider move","0","0","5","0","0"
"epic Tasks","feature Various tasks","story Test mutatorr","0","0","6","0","0"
"epic Training","feature Core","story Group calculator","0","0","1","1","0"
"epic Challenges","feature Challenges by date","story Adjacent square","8","0","2","0","0"
"epic Challenges","feature Challenges by date","story New road system","0","0","3","0","0"
"epic Tasks","feature Various tasks","story Counbt pairs","0","0","2","0","0"
"epic Challenges","feature Challenges by date","story Marathon task score","0","0","5","0","0"
"epic Challenges","feature Challenges by date","story Daily OHLC","0","1","0","0","0"
"epic Challenges","feature Challenges by date","story Road building","1","0","0","0","0"
"epic Tasks","feature Various tasks","story First duplicate","0","0","0","1","0"
"epic Challenges","feature Challenges by date","story Spam clusterization","1","0","0","0","0"
"epic Challenges","feature Challenges by date","story Fancy ride","0","0","1","0","0"
